"cluster_name","primerid","contrast","Pr(>Chisq)","ci.hi","ci.lo","coef","fdr"
"2","ITM2B","ageYOUNG",0.000736386432718489,0.29830405737019,0.151974272152409,0.225139164761299,0.0273083684997763
"2","RPL36A","ageYOUNG",0.000741511903789547,0.30005699185523,0.156505181571062,0.228281086713146,0.0273083684997763
"2","TM4SF1","ageYOUNG",0.000751562996088514,-0.420699316927586,-0.533427591818114,-0.47706345437285,0.0273840772510975
"2","TWIST1","ageYOUNG",0.00078670968066676,0.200059243040274,0.0794033667164495,0.139731304878361,0.02836295427667
"2","MYL6","ageYOUNG",0.000813983916082813,-0.177247307901923,-0.291110122168233,-0.234178715035078,0.0284379364566388
"2","PDIA3","ageYOUNG",0.000815178163429834,0.19469109005951,0.0777456465782215,0.136218368318866,0.0284379364566388
"2","PSAP","ageYOUNG",0.000802115602735164,0.292407867320222,0.151803311510343,0.222105589415283,0.0284379364566388
"2","SNHG8","ageYOUNG",0.000822001666921822,0.237637390667796,0.0994715030901971,0.168554446878997,0.0284379364566388
"2","SOD2","ageYOUNG",0.000861641641657124,0.000403305984370439,-0.288991113292367,-0.144293903653999,0.0295112262267565
"2","UBE2S","ageYOUNG",0.000912574391831341,-0.076552003156303,-0.17803260627253,-0.127292304714417,0.0309462108121024
"2","HNRNPA1","ageYOUNG",0.000934738460337342,0.279265262021055,0.135977386570685,0.20762132429587,0.0313870512417196
"2","AQP1","ageYOUNG",0.00102066776875725,-0.268207027374306,-0.372186034202844,-0.320196530788575,0.0336133375768612
"2","SERPING1","ageYOUNG",0.00101579438493674,0.282479071176235,0.137091812224473,0.209785441700354,0.0336133375768612
"2","GGT5","ageYOUNG",0.00105923990873196,0.164160963515454,0.0736863097999263,0.11892363665769,0.0345513970229234
"2","HLA-DPB1","ageYOUNG",0.00110058993847668,-0.219424299686714,-0.671375635112229,-0.445399967399471,0.034582757241125
"2","IFI27","ageYOUNG",0.00109539596112799,-0.345726590097056,-0.48236407600697,-0.414045333052013,0.034582757241125
"2","RNF24","ageYOUNG",0.00108428411439435,0.153151044791821,0.0709768873945735,0.112063966093197,0.034582757241125
"2","RPL8","ageYOUNG",0.00109920997360414,-0.317740953494972,-0.418191119700201,-0.367966036597586,0.034582757241125
